num,location,price_index,bus,taxi,citygas,waterworks,garbagebag,washing,lodge,haircut,publicbath,kimchi-jjigae
1,Seoul,105.24,1200,3800,7918,8280,490,6846,42692,16769,7077,6423
2,Gwangju,104.65,1250,3300,8167,11600,740,6200,35000,15000,5900,7100
3,Daegu,105.58,1250,3300,8330,12060,560,7333,43333,20000,5583,6333
4,Daejeon,104.03,1250,3300,8280,10060,660,6200,42000,15400,6900,6100
5,Busan,105.21,1200,3300,8743,16200,792,6286,41429,17286,6286,6500
6,Ulsan,103.42,1250,3300,8515,14250,600,7600,36000,14000,6800,6700
7,Incheon,104.76,1250,3610,8371,10390,632,6833,36667,17833,7000,6500
8,Gangwon,105.45,1252,3344,9468,12855,396,7778,43889,15556,7000,6833
9,Gyeonggi,104.95,1450,3800,8363,11503,565,6808,40269,15692,7019,6385
10,Gyeonggnam,103.92,1147,3828,8742,13543,506,6400,38500,14400,5750,6850
11,Gyeongbuk,104.24,1192,3300,8819,11647,327,7769,38462,16369,5769,6654
12,Jeonnam,105.06,1127,3636,9131,12386,332,7000,39444,14556,6278,6278
13,Jeonbuk,104.47,1082,3700,8564,14501,392,6900,39500,12500,6150,6800
14,Chunggnam,103.92,1283,3280,8202,13471,388,7100,40000,15700,6450,6700
15,Chungbuk,104.79,1400,3300,8913,12788,336,7429,41429,14429,6643,7143
16,Jeju,105.85,1150,3300,10553,7600,700,8750,41250,17000,5125,7625
